FIP,county,cases,deaths
13121,Fulton,2727,108
13089,DeKalb,1887,43
13135,Gwinnett,1603,54
13067,Cobb,1515,81
13095,Dougherty,1491,118
13139,Hall,1183,16
13063,Clayton,669,24
-999,Unknown,592,2
13151,Henry,487,11
13057,Cherokee,432,11
13245,Richmond,382,14
13261,Sumter,370,26
13045,Carroll,334,13
13177,Lee,312,19
13015,Bartow,298,30
13097,Douglas,298,11
13205,Mitchell,293,29
13215,Muscogee,291,6
13117,Forsyth,284,9
13021,Bibb,269,8
13153,Houston,218,13
13051,Chatham,217,7
13137,Habersham,212,7
13293,Upson,208,17
13009,Baldwin,202,6
13099,Early,202,15
13255,Spalding,199,8
13077,Coweta,191,4
13217,Newton,181,7
13071,Colquitt,179,6
13275,Thomas,173,17
13223,Paulding,172,7
13247,Rockdale,172,6
13113,Fayette,171,9
13273,Terrell,170,18
13081,Crisp,159,3
13243,Randolph,156,19
13073,Columbia,149,3
13185,Lowndes,146,4
13321,Worth,144,8
13059,Clarke,142,13
13285,Troup,140,4
13115,Floyd,134,11
13035,Butts,129,3
13013,Barrow,124,4
13069,Coffee,121,4
13093,Dooly,119,8
13299,Ware,112,9
13297,Walton,110,3
13277,Tift,97,5
13315,Wilcox,89,8
13037,Calhoun,87,4
13129,Gordon,85,12
13157,Jackson,78,1
13193,Macon,75,3
13313,Whitfield,75,4
13033,Burke,74,3
13257,Stephens,71,1
13087,Decatur,66,1
13287,Turner,66,8
13001,Appling,65,5
13085,Dawson,58,1
13131,Grady,58,3
13219,Oconee,58,0
13295,Walker,58,0
13145,Harris,57,2
13123,Gilmer,56,0
13311,White,56,0
13127,Glynn,55,1
13175,Laurens,54,1
13229,Pierce,54,3
13199,Meriwether,53,1
13027,Brooks,52,6
13133,Greene,52,2
13029,Bryan,49,2
13233,Polk,49,0
13221,Oglethorpe,48,3
13047,Catoosa,46,0
13189,McDuffie,44,4
13225,Peach,44,2
13197,Marion,40,1
13167,Johnson,39,2
13231,Pike,39,2
13303,Washington,38,1
13141,Hancock,37,1
13187,Lumpkin,37,1
13237,Putnam,37,5
13179,Liberty,36,0
13171,Lamar,35,2
13031,Bulloch,34,2
13103,Effingham,34,1
13291,Union,34,1
13319,Wilkinson,34,2
13039,Camden,31,1
13253,Seminole,30,2
13201,Miller,29,0
13169,Jones,28,0
13279,Toombs,28,3
13111,Fannin,27,1
13143,Haralson,27,1
13213,Murray,27,0
13017,Ben Hill,25,0
13227,Pickens,25,2
13235,Pulaski,25,1
13271,Telfair,25,0
13091,Dodge,24,1
13211,Morgan,24,0
13195,Madison,23,1
13317,Wilkes,23,0
13005,Bacon,22,1
13025,Brantley,22,2
13207,Monroe,22,1
13263,Talbot,22,1
13007,Baker,21,2
13159,Jasper,21,0
13259,Stewart,21,0
13281,Towns,21,1
13061,Clay,20,2
13075,Cook,20,1
13107,Emanuel,20,0
13105,Elbert,19,0
13011,Banks,18,0
13019,Berrien,18,0
13119,Franklin,17,0
13269,Taylor,17,2
13165,Jenkins,16,1
13249,Schley,16,1
13079,Crawford,15,0
13155,Irwin,15,1
13251,Screven,15,1
13055,Chattooga,14,1
13083,Dade,14,1
13161,Jeff Davis,14,1
13163,Jefferson,14,1
13023,Bleckley,12,0
13241,Rabun,12,1
13301,Warren,12,0
13305,Wayne,12,0
13053,Chattahoochee,11,0
13181,Lincoln,11,0
13149,Heard,10,1
13307,Webster,10,2
13049,Charlton,9,0
13147,Hart,9,0
13065,Clinch,8,0
13173,Lanier,8,1
13267,Tattnall,8,0
13003,Atkinson,7,0
13043,Candler,7,0
13289,Twiggs,7,0
13101,Echols,5,0
13239,Quitman,5,1
13109,Evans,4,0
13183,Long,4,0
13191,McIntosh,4,0
13309,Wheeler,4,0
13283,Treutlen,3,0
13209,Montgomery,2,0
