FIPS,County,HospRegion
13001,"Appling County, Georgia",M
13003,"Atkinson County, Georgia",M
13005,"Bacon County, Georgia",M
13007,"Baker County, Georgia",K
13009,"Baldwin County, Georgia",H
13011,"Banks County, Georgia",B
13013,"Barrow County, Georgia",E
13015,"Bartow County, Georgia",C
13017,"Ben Hill County, Georgia",L
13019,"Berrien County, Georgia",L
13021,"Bibb County, Georgia",F
13023,"Bleckley County, Georgia",H
13025,"Brantley County, Georgia",M
13027,"Brooks County, Georgia",K
13029,"Bryan County, Georgia",J
13031,"Bulloch County, Georgia",J
13033,"Burke County, Georgia",G
13035,"Butts County, Georgia",F
13037,"Calhoun County, Georgia",K
13039,"Camden County, Georgia",J
13043,"Candler County, Georgia",J
13045,"Carroll County, Georgia",C
13047,"Catoosa County, Georgia",A
13049,"Charlton County, Georgia",M
13051,"Chatham County, Georgia",J
13053,"Chattahoochee County, Georgia",I
13055,"Chattooga County, Georgia",C
13057,"Cherokee County, Georgia",N
13059,"Clarke County, Georgia",E
13061,"Clay County, Georgia",I
13063,"Clayton County, Georgia",D
13065,"Clinch County, Georgia",M
13067,"Cobb County, Georgia",N
13069,"Coffee County, Georgia",M
13071,"Colquitt County, Georgia",K
13073,"Columbia County, Georgia",G
13075,"Cook County, Georgia",L
13077,"Coweta County, Georgia",C
13079,"Crawford County, Georgia",F
13081,"Crisp County, Georgia",I
13083,"Dade County, Georgia",A
13085,"Dawson County, Georgia",B
13087,"Decatur County, Georgia",K
13089,"DeKalb County, Georgia",D
13091,"Dodge County, Georgia",H
13093,"Dooly County, Georgia",I
13095,"Dougherty County, Georgia",K
13097,"Douglas County, Georgia",N
13099,"Early County, Georgia",K
13101,"Echols County, Georgia",L
13103,"Effingham County, Georgia",J
13105,"Elbert County, Georgia",E
13107,"Emanuel County, Georgia",G
13109,"Evans County, Georgia",J
13111,"Fannin County, Georgia",A
13113,"Fayette County, Georgia",D
13115,"Floyd County, Georgia",C
13117,"Forsyth County, Georgia",D
13119,"Franklin County, Georgia",E
13121,"Fulton County, Georgia",D
13123,"Gilmer County, Georgia",A
13125,"Glascock County, Georgia",G
13127,"Glynn County, Georgia",J
13129,"Gordon County, Georgia",A
13131,"Grady County, Georgia",K
13133,"Greene County, Georgia",E
13135,"Gwinnett County, Georgia",D
13137,"Habersham County, Georgia",B
13139,"Hall County, Georgia",B
13141,"Hancock County, Georgia",H
13143,"Haralson County, Georgia",C
13145,"Harris County, Georgia",I
13147,"Hart County, Georgia",E
13149,"Heard County, Georgia",C
13151,"Henry County, Georgia",F
13153,"Houston County, Georgia",F
13155,"Irwin County, Georgia",L
13157,"Jackson County, Georgia",E
13159,"Jasper County, Georgia",H
13161,"Jeff Davis County, Georgia",M
13163,"Jefferson County, Georgia",G
13165,"Jenkins County, Georgia",G
13167,"Johnson County, Georgia",H
13169,"Jones County, Georgia",F
13171,"Lamar County, Georgia",F
13173,"Lanier County, Georgia",L
13175,"Laurens County, Georgia",H
13177,"Lee County, Georgia",K
13179,"Liberty County, Georgia",J
13181,"Lincoln County, Georgia",G
13183,"Long County, Georgia",J
13185,"Lowndes County, Georgia",L
13187,"Lumpkin County, Georgia",B
13189,"McDuffie County, Georgia",G
13191,"McIntosh County, Georgia",J
13193,"Macon County, Georgia",I
13195,"Madison County, Georgia",E
13197,"Marion County, Georgia",I
13199,"Meriwether County, Georgia",I
13201,"Miller County, Georgia",K
13205,"Mitchell County, Georgia",K
13207,"Monroe County, Georgia",F
13209,"Montgomery County, Georgia",H
13211,"Morgan County, Georgia",E
13213,"Murray County, Georgia",A
13215,"Muscogee County, Georgia",I
13217,"Newton County, Georgia",D
13219,"Oconee County, Georgia",E
13221,"Oglethorpe County, Georgia",E
13223,"Paulding County, Georgia",N
13225,"Peach County, Georgia",F
13227,"Pickens County, Georgia",A
13229,"Pierce County, Georgia",M
13231,"Pike County, Georgia",F
13233,"Polk County, Georgia",C
13235,"Pulaski County, Georgia",H
13237,"Putnam County, Georgia",H
13239,"Quitman County, Georgia",I
13241,"Rabun County, Georgia",B
13243,"Randolph County, Georgia",K
13245,"Richmond County, Georgia",G
13247,"Rockdale County, Georgia",D
13249,"Schley County, Georgia",I
13251,"Screven County, Georgia",J
13253,"Seminole County, Georgia",K
13255,"Spalding County, Georgia",F
13257,"Stephens County, Georgia",B
13259,"Stewart County, Georgia",I
13261,"Sumter County, Georgia",K
13263,"Talbot County, Georgia",I
13265,"Taliaferro County, Georgia",G
13267,"Tattnall County, Georgia",J
13269,"Taylor County, Georgia",I
13271,"Telfair County, Georgia",H
13273,"Terrell County, Georgia",K
13275,"Thomas County, Georgia",K
13277,"Tift County, Georgia",L
13279,"Toombs County, Georgia",J
13281,"Towns County, Georgia",B
13283,"Treutlen County, Georgia",H
13285,"Troup County, Georgia",I
13287,"Turner County, Georgia",L
13289,"Twiggs County, Georgia",H
13291,"Union County, Georgia",B
13293,"Upson County, Georgia",F
13295,"Walker County, Georgia",A
13297,"Walton County, Georgia",E
13299,"Ware County, Georgia",M
13301,"Warren County, Georgia",G
13303,"Washington County, Georgia",H
13305,"Wayne County, Georgia",M
13307,"Webster County, Georgia",I
13309,"Wheeler County, Georgia",H
13311,"White County, Georgia",B
13313,"Whitfield County, Georgia",A
13315,"Wilcox County, Georgia",H
13317,"Wilkes County, Georgia",G
13319,"Wilkinson County, Georgia",H
13321,"Worth County, Georgia",K
